Routing table,,,,,
,,,,,
"path
('/jwch09 는 공통)",method,입력 파라메터,"Viewer, 
다음 행선지",넘겨줄 파라메터,설 명
/user/list,GET,page,list viewer,List<User>list,list.jsp
/user/register,GET,,register viewer,,register.jsp
,POST,"uid,
pwd,
pwd2
uname,
email",/user/lsit?page=1,,session의 currentUserPage
/user/login,GET,,login viewer,,
,POST,"uid,
pwd",/user/lsit?page=1,,"sessUid,sessUname,
등록"
/user/logout,GET,,/user/lsit?page=1,,
/user/update,GET,"uid,",update viewer,User user,update.jsp
,POST,"uid, 
uname, 
email,
pwd,
pwd2",/user/lsit?page=1,,"pwd, pwd2가 null 이 아니면서 동일할 경우
패스워드 변경함"
/user/delete,GET,"uid,
pwd",/user/lsit?page=1,,
